pathogen,antibiotic,resistance_level,collection_date,location
Campylobacter,Doxycycline,Medium,2023-07-13,East Robertmouth
Salmonella,Norfloxacin,High,2024-10-19,Harringtonland
E. coli,Norfloxacin,Medium,2023-01-08,New Jamesville
Salmonella,Azithromycin,Medium,2022-04-13,Lake Walterville
E. coli,Ciprofloxacin,High,2022-04-08,Maryton
E. coli,Gentamicin,Medium,2020-07-05,Nicholechester
E. coli,Norfloxacin,Low,2021-10-05,Roseberg
Salmonella,Azithromycin,High,2024-04-30,Lake Shannonborough
Salmonella,Trimethoprim,High,2024-03-13,East Jessicastad
Campylobacter,Azithromycin,Low,2023-01-28,North Noahmouth
E. coli,Azithromycin,Medium,2021-02-19,Ryanshire
E. coli,Ciprofloxacin,High,2021-03-10,Port Ashleyton
Campylobacter,Trimethoprim,Low,2023-12-02,Victoriamouth
E. coli,Chloramphenicol,Low,2021-07-05,Sextonborough
Salmonella,Nitrofurantoin,High,2020-07-27,East Shane
Campylobacter,Levofloxacin,Medium,2022-06-19,Holtberg
Campylobacter,Nitrofurantoin,High,2021-11-17,South Randy
Campylobacter,Doxycycline,Medium,2020-08-13,South Jesse
Salmonella,Chloramphenicol,Low,2020-08-24,Jesseburgh
Campylobacter,Trimethoprim,Low,2021-11-06,West Donald
E. coli,Gentamicin,Medium,2023-05-22,Port Kimchester
Salmonella,Nitrofurantoin,High,2023-08-07,New Todd
E. coli,Gentamicin,Low,2024-05-07,New Sydney
Salmonella,Norfloxacin,Medium,2023-04-29,Davidport
Campylobacter,Gentamicin,Medium,2024-05-28,Patriciaside
E. coli,Ceftriaxone,Medium,2021-09-23,Deborahstad
E. coli,Amoxicillin,High,2023-05-30,Angelamouth
E. coli,Doxycycline,High,2021-06-20,North Tyler
E. coli,Nitrofurantoin,Low,2022-03-03,Gonzalezburgh
Salmonella,Erythromycin,Medium,2023-12-20,Greenstad
Salmonella,Chloramphenicol,High,2021-10-30,Lake Bill
E. coli,Amoxicillin,Low,2023-12-20,East Michealberg
Campylobacter,Ceftriaxone,High,2020-01-10,Hendersonland
Salmonella,Doxycycline,High,2023-07-30,South Margaret
E. coli,Ceftriaxone,Low,2021-09-23,Griffithfort
Campylobacter,Gentamicin,Medium,2023-05-22,Carlsonton
E. coli,Ceftriaxone,Low,2024-06-22,East Deborah
Salmonella,Gentamicin,High,2023-01-31,Lake Josephport
Salmonella,Chloramphenicol,High,2022-04-17,Lake Sheenaburgh
Campylobacter,Nitrofurantoin,Medium,2022-05-05,New Michaelborough
E. coli,Ceftriaxone,Medium,2022-04-06,Lake Christopher
Campylobacter,Norfloxacin,Low,2022-08-27,West Davidhaven
Salmonella,Trimethoprim,Medium,2021-05-07,Melissastad
Salmonella,Chloramphenicol,Low,2021-11-13,West Robinhaven
Campylobacter,Ceftriaxone,High,2020-11-23,Pattonfort
E. coli,Ceftriaxone,High,2022-10-18,Port Juan
Salmonella,Chloramphenicol,Low,2024-05-11,Bernardburgh
Campylobacter,Ceftriaxone,High,2024-11-06,Brownton
Campylobacter,Ceftriaxone,High,2020-04-08,Phyllisshire
Campylobacter,Gentamicin,Medium,2023-05-15,West Holly
E. coli,Azithromycin,Low,2022-01-06,New Caleb
Campylobacter,Ciprofloxacin,Medium,2024-01-05,South Alexis
Campylobacter,Doxycycline,High,2024-09-05,Goodmanport
Salmonella,Doxycycline,High,2022-10-07,Carlsonborough
Campylobacter,Nitrofurantoin,High,2023-07-25,Hernandezstad
Campylobacter,Norfloxacin,High,2024-02-11,Lake Josephshire
Salmonella,Levofloxacin,High,2020-12-07,New Karenhaven
E. coli,Chloramphenicol,High,2023-06-12,Leeborough
Campylobacter,Levofloxacin,Low,2022-01-08,Lake Deborah
E. coli,Ciprofloxacin,Medium,2022-06-17,North Sheilaland
Salmonella,Norfloxacin,Medium,2023-06-24,Marytown
Salmonella,Norfloxacin,Low,2020-11-08,Silvashire
E. coli,Norfloxacin,High,2023-06-02,Port Angelafurt
E. coli,Levofloxacin,Medium,2024-05-24,Port Troy
Campylobacter,Norfloxacin,High,2024-09-03,Port Vanessafurt
Salmonella,Gentamicin,Low,2024-11-11,North Henry
Campylobacter,Nitrofurantoin,High,2024-07-27,East Amybury
E. coli,Norfloxacin,Low,2021-05-25,Nathanmouth
Salmonella,Ciprofloxacin,High,2024-03-11,Sarahfurt
E. coli,Amoxicillin,Low,2022-07-26,Stonefort
Campylobacter,Gentamicin,Low,2023-08-16,West Amanda
Salmonella,Amoxicillin,Low,2020-02-29,Smithshire
E. coli,Norfloxacin,Medium,2022-12-01,North Joel
E. coli,Nitrofurantoin,Low,2020-01-04,Morrowborough
Salmonella,Erythromycin,High,2024-02-14,Blevinstown
Salmonella,Ciprofloxacin,Low,2023-05-31,Johnview
E. coli,Chloramphenicol,Medium,2020-02-15,Stephanieton
Salmonella,Ciprofloxacin,Medium,2022-06-03,East Karen
E. coli,Azithromycin,High,2020-07-10,Brownville
Campylobacter,Trimethoprim,Medium,2024-07-25,East Rebecca
E. coli,Ciprofloxacin,High,2021-02-17,Leburgh
Campylobacter,Erythromycin,Low,2024-01-06,Martinezhaven
Salmonella,Norfloxacin,Low,2020-11-05,Sarahberg
E. coli,Azithromycin,High,2022-12-08,Ortegaport
Campylobacter,Gentamicin,High,2021-05-09,West Makaylamouth
Salmonella,Gentamicin,High,2020-06-08,Port Bill
E. coli,Trimethoprim,Medium,2023-06-08,Josephstad
Campylobacter,Gentamicin,High,2024-06-26,West Jessefurt
E. coli,Ceftriaxone,Low,2021-03-24,Darrenshire
E. coli,Doxycycline,Medium,2020-06-18,Nelsonshire
Salmonella,Ciprofloxacin,High,2021-11-01,Christopherbury
Salmonella,Ciprofloxacin,Medium,2022-12-17,Dudleyfort
E. coli,Norfloxacin,Medium,2021-03-19,Lake Antonio
Campylobacter,Norfloxacin,Medium,2021-08-18,South Christieton
E. coli,Gentamicin,Low,2020-06-01,West Christine
Salmonella,Trimethoprim,High,2021-09-08,West Kellyberg
Salmonella,Ciprofloxacin,Low,2023-01-14,Matthewville
Salmonella,Erythromycin,Low,2024-11-08,Hudsonton
Campylobacter,Levofloxacin,Medium,2024-02-03,Mariamouth
E. coli,Nitrofurantoin,Medium,2022-05-20,East Annaberg
E. coli,Doxycycline,Low,2021-09-24,Harveyfurt
Salmonella,Azithromycin,Medium,2023-11-25,New Christopherstad
E. coli,Norfloxacin,Low,2022-10-19,Port Brandon
Campylobacter,Amoxicillin,High,2022-12-07,Joseshire
E. coli,Erythromycin,Medium,2023-04-09,West Christine
E. coli,Nitrofurantoin,Medium,2022-09-15,Richardborough
Campylobacter,Levofloxacin,Low,2022-08-30,Port Justinmouth
E. coli,Erythromycin,Low,2022-08-19,East Sherrystad
E. coli,Doxycycline,High,2023-09-06,Allisonfurt
Salmonella,Levofloxacin,Low,2021-01-30,South Jenna
Campylobacter,Ciprofloxacin,Low,2022-04-30,Port Albertport
Campylobacter,Norfloxacin,Low,2021-08-31,Smithshire
E. coli,Norfloxacin,High,2021-03-29,East Dianeshire
E. coli,Ciprofloxacin,Medium,2023-09-16,East Linda
Campylobacter,Azithromycin,High,2022-06-07,West Hunter
Campylobacter,Norfloxacin,Medium,2020-09-21,West Damon
E. coli,Chloramphenicol,Low,2021-12-02,North Wesley
Salmonella,Erythromycin,Medium,2022-12-12,Amandahaven
E. coli,Amoxicillin,High,2020-12-21,Port Aimee
Salmonella,Chloramphenicol,Low,2021-04-30,Taylorshire
Campylobacter,Amoxicillin,Medium,2024-07-12,Brightbury
E. coli,Azithromycin,High,2024-02-20,Andrewmouth
E. coli,Ciprofloxacin,High,2021-06-20,East Micheleland
E. coli,Ceftriaxone,Low,2022-03-12,Port Sarah
Salmonella,Ceftriaxone,Low,2021-02-28,Morrishaven
Salmonella,Azithromycin,Low,2020-10-05,Karenbury
Salmonella,Nitrofurantoin,Medium,2022-06-26,Jayfort
Campylobacter,Norfloxacin,High,2023-03-27,Bellburgh
E. coli,Ceftriaxone,High,2020-02-19,North Sarah
Campylobacter,Ciprofloxacin,High,2021-07-03,Rodriguezchester
E. coli,Ciprofloxacin,Medium,2020-12-28,East Matthew
Salmonella,Azithromycin,Medium,2022-12-25,Port Christopherfurt
E. coli,Nitrofurantoin,Low,2024-01-05,Port Connor
E. coli,Chloramphenicol,Low,2022-12-11,North Catherine
Campylobacter,Levofloxacin,Medium,2021-01-24,Caldwellton
Salmonella,Levofloxacin,Low,2020-04-04,East Davidmouth
E. coli,Levofloxacin,Low,2022-02-19,Sotofurt
Campylobacter,Nitrofurantoin,Low,2022-12-20,Brucechester
Campylobacter,Nitrofurantoin,High,2023-07-19,South Masonside
Campylobacter,Ciprofloxacin,Low,2022-05-04,Lake Ryan
E. coli,Trimethoprim,Medium,2023-03-19,Geraldstad
Campylobacter,Levofloxacin,Low,2023-06-07,Cunninghammouth
Salmonella,Amoxicillin,Low,2022-08-03,Butlerton
E. coli,Gentamicin,High,2023-05-25,South Juanmouth
Campylobacter,Trimethoprim,Medium,2022-12-20,Hartchester
Salmonella,Ceftriaxone,Medium,2020-03-31,West Walter
E. coli,Amoxicillin,Medium,2021-10-18,East Kathy
Salmonella,Norfloxacin,Medium,2023-02-01,North Joel
Salmonella,Ciprofloxacin,Medium,2024-04-02,Vegatown
Campylobacter,Trimethoprim,Low,2021-01-11,West Jamie
Salmonella,Trimethoprim,High,2021-07-08,East Charlesburgh
E. coli,Ciprofloxacin,Medium,2020-06-09,South Lisa
Salmonella,Azithromycin,Medium,2020-03-29,Barnesside
Campylobacter,Ciprofloxacin,Low,2023-07-24,New Carlatown
Campylobacter,Doxycycline,Medium,2021-07-02,Port Luisville
E. coli,Erythromycin,High,2022-09-03,Bridgetberg
Campylobacter,Levofloxacin,Low,2024-08-12,South Christinaview
Salmonella,Ceftriaxone,Medium,2022-02-17,Williamfort
Salmonella,Doxycycline,High,2022-07-12,Cristianmouth
E. coli,Chloramphenicol,Medium,2023-10-21,North Paulton
Salmonella,Trimethoprim,High,2021-01-15,Glennton
E. coli,Doxycycline,Low,2021-06-04,Haydenside
E. coli,Azithromycin,Low,2021-01-22,Hunterchester
E. coli,Doxycycline,High,2022-01-16,Charlesmouth
E. coli,Trimethoprim,High,2023-12-16,Heatherchester
Campylobacter,Nitrofurantoin,High,2020-12-28,Kellyberg
Campylobacter,Amoxicillin,High,2024-05-17,Samanthaville
E. coli,Chloramphenicol,Medium,2021-06-25,Kingport
Campylobacter,Trimethoprim,High,2024-02-13,Barbaratown
E. coli,Doxycycline,High,2023-09-30,Lake Adam
E. coli,Azithromycin,High,2024-08-07,Lake Curtisview
Salmonella,Gentamicin,Medium,2023-06-23,West Rebecca
Salmonella,Norfloxacin,High,2024-02-09,Port Danielle
E. coli,Ceftriaxone,Low,2023-05-06,Hallview
E. coli,Gentamicin,High,2021-05-13,North Jeremytown
Salmonella,Nitrofurantoin,High,2020-10-05,Davidfort
Campylobacter,Norfloxacin,High,2022-07-04,Alexanderland
E. coli,Amoxicillin,High,2024-02-22,Port Joshua
E. coli,Ciprofloxacin,High,2024-10-10,Millerborough
E. coli,Norfloxacin,Medium,2021-08-14,Jesusville
E. coli,Amoxicillin,Medium,2023-03-26,Hollowayview
Salmonella,Ciprofloxacin,High,2023-02-17,South Dorothyton
Salmonella,Amoxicillin,High,2021-02-28,North Zacharyside
Salmonella,Amoxicillin,Medium,2020-06-20,West Daniel
E. coli,Gentamicin,High,2023-10-13,Gonzalesside
Salmonella,Ciprofloxacin,Low,2020-02-20,North Amandaton
Salmonella,Trimethoprim,Medium,2023-11-26,Lake Susan
Salmonella,Azithromycin,Low,2020-01-15,Lake Cody
E. coli,Amoxicillin,Low,2022-11-24,Joshualand
Salmonella,Azithromycin,Low,2022-02-10,West Dana
Campylobacter,Amoxicillin,Medium,2022-04-15,North Donnaberg
Campylobacter,Doxycycline,Medium,2024-08-30,Curtischester
Campylobacter,Ciprofloxacin,High,2020-04-29,North Monicatown
E. coli,Doxycycline,Low,2021-05-03,Gonzalezview
Salmonella,Azithromycin,Low,2020-11-23,West Andrewhaven
E. coli,Trimethoprim,Medium,2022-09-27,North Luis
Salmonella,Nitrofurantoin,Low,2024-07-11,Whiteburgh
E. coli,Ceftriaxone,Medium,2023-05-18,East Samantha
E. coli,Amoxicillin,High,2022-07-14,Jonesshire
E. coli,Chloramphenicol,Low,2020-03-01,Johnburgh
Campylobacter,Levofloxacin,Low,2021-09-12,Reyesberg
E. coli,Trimethoprim,High,2020-11-24,New John
Campylobacter,Ceftriaxone,Medium,2022-10-11,Colleenburgh
Salmonella,Erythromycin,Low,2020-03-07,East Mary
Campylobacter,Trimethoprim,Low,2021-12-17,New Staceybury
Campylobacter,Doxycycline,High,2022-03-23,New Caseychester
Salmonella,Chloramphenicol,High,2021-02-20,Warnermouth
Campylobacter,Amoxicillin,High,2022-08-29,Samanthaport
E. coli,Ceftriaxone,Low,2021-03-22,Robertsonbury
Campylobacter,Trimethoprim,High,2021-08-25,Morristown
Salmonella,Trimethoprim,Medium,2020-01-22,Tonyport
E. coli,Doxycycline,High,2024-05-24,Port Mark
Salmonella,Doxycycline,Low,2021-07-11,East Sarah
Salmonella,Nitrofurantoin,High,2021-09-04,Zacharyside
Campylobacter,Levofloxacin,Low,2020-04-08,Grossbury
E. coli,Levofloxacin,Medium,2023-12-26,West Ronald
E. coli,Doxycycline,Low,2021-08-10,North Katiechester
E. coli,Trimethoprim,High,2023-03-31,Davisview
E. coli,Trimethoprim,Low,2020-08-19,Tracyville
Campylobacter,Norfloxacin,Low,2023-01-01,West Geneville
Campylobacter,Levofloxacin,High,2024-01-21,Colleenchester
E. coli,Chloramphenicol,Low,2020-04-05,Bryanborough
E. coli,Levofloxacin,Medium,2024-05-13,Waltonfort
Salmonella,Nitrofurantoin,Low,2020-11-30,Donaldport
Campylobacter,Norfloxacin,Medium,2023-07-16,Johnbury
Campylobacter,Doxycycline,High,2023-11-02,South Jefferymouth
Salmonella,Erythromycin,Low,2020-01-06,South Robert
Campylobacter,Trimethoprim,Medium,2021-12-30,New Matthewport
Salmonella,Ciprofloxacin,Medium,2024-01-15,South Philipberg
Campylobacter,Norfloxacin,Low,2022-08-02,East Jacob
Campylobacter,Erythromycin,High,2023-04-28,Brownfort
E. coli,Amoxicillin,High,2020-01-31,Moralesview
Campylobacter,Doxycycline,Low,2021-10-27,Whiteshire
Campylobacter,Doxycycline,High,2020-05-28,Markport
Salmonella,Trimethoprim,Low,2023-02-17,Danielton
Campylobacter,Amoxicillin,High,2024-03-24,Jamesfurt
Salmonella,Levofloxacin,Low,2024-01-02,Georgetown
E. coli,Chloramphenicol,High,2023-08-27,Thomasshire
E. coli,Erythromycin,Low,2021-02-04,Jasmineview
Salmonella,Ciprofloxacin,Medium,2024-02-29,North Alexanderburgh
E. coli,Nitrofurantoin,Medium,2022-06-29,Robertberg
Campylobacter,Ceftriaxone,High,2021-03-18,Georgefurt
Campylobacter,Erythromycin,High,2024-10-15,Heathertown
E. coli,Chloramphenicol,High,2021-01-24,Dixonchester
Campylobacter,Gentamicin,Low,2020-04-16,South Davidberg
Campylobacter,Erythromycin,Medium,2021-04-19,Harrisberg
Campylobacter,Ceftriaxone,High,2023-04-19,North Kyle
Campylobacter,Norfloxacin,Low,2024-11-03,Marytown
Salmonella,Amoxicillin,High,2020-05-11,Lake Kevin
Campylobacter,Erythromycin,Low,2024-09-23,Lake Jamesburgh
Campylobacter,Chloramphenicol,Medium,2023-07-26,Bakerfort
Campylobacter,Ceftriaxone,Low,2022-05-04,South Heatherberg
Salmonella,Gentamicin,Medium,2020-07-01,Port Joel
Campylobacter,Chloramphenicol,Medium,2020-05-07,Christopherburgh
Campylobacter,Trimethoprim,Low,2023-04-30,Romanborough
Salmonella,Trimethoprim,Medium,2023-11-26,Rhondaland
Campylobacter,Norfloxacin,High,2020-12-13,West Denise
Salmonella,Ceftriaxone,High,2022-11-16,East Josephborough
E. coli,Chloramphenicol,Medium,2024-08-19,Lake Arianaberg
Salmonella,Nitrofurantoin,High,2022-01-07,Mcgeeview
Campylobacter,Ceftriaxone,Medium,2021-11-03,Dianaburgh
Campylobacter,Trimethoprim,High,2020-05-19,Toddfurt
E. coli,Levofloxacin,High,2023-03-03,Lake Daniel
Salmonella,Azithromycin,Medium,2024-04-30,Farmerport
Campylobacter,Amoxicillin,Low,2020-08-26,Samanthaland
Campylobacter,Amoxicillin,Medium,2023-12-07,Hernandezfurt
Salmonella,Ciprofloxacin,High,2024-02-17,Smallborough
Salmonella,Azithromycin,Medium,2022-04-22,Millerfort
Campylobacter,Ciprofloxacin,High,2020-03-06,Malloryshire
Campylobacter,Norfloxacin,High,2020-02-28,South William
Campylobacter,Ciprofloxacin,Medium,2022-03-05,Robertsonfurt
E. coli,Norfloxacin,High,2020-10-17,Annaview
E. coli,Doxycycline,High,2022-04-12,Amyport
Campylobacter,Trimethoprim,High,2020-12-15,Bankstown
Salmonella,Erythromycin,Low,2022-02-11,West Shelleymouth
Salmonella,Azithromycin,Low,2024-05-07,Deleonville
Campylobacter,Trimethoprim,Medium,2020-04-20,Wrightborough
E. coli,Ceftriaxone,High,2023-07-15,Owensville
E. coli,Nitrofurantoin,High,2021-11-24,Saramouth
Salmonella,Trimethoprim,High,2023-10-03,Arthurton
Campylobacter,Chloramphenicol,High,2022-06-09,Johnfurt
E. coli,Trimethoprim,Medium,2022-05-11,New Dustinberg
Campylobacter,Amoxicillin,Low,2024-05-16,West Michaelburgh
E. coli,Trimethoprim,Medium,2021-03-11,New Johnstad
Salmonella,Gentamicin,Medium,2020-07-27,Williamstown
E. coli,Trimethoprim,High,2024-08-12,East Christinemouth
E. coli,Amoxicillin,High,2021-11-18,Trevinomouth
Campylobacter,Chloramphenicol,High,2021-04-19,Trevorborough
E. coli,Chloramphenicol,High,2022-12-09,New Gregoryfurt
Campylobacter,Amoxicillin,High,2020-09-17,Kimberg
E. coli,Amoxicillin,Medium,2021-10-10,Jonesport
E. coli,Erythromycin,Medium,2022-02-05,Coreymouth
E. coli,Ciprofloxacin,Medium,2024-02-12,New Susantown
E. coli,Doxycycline,Medium,2023-12-01,Michaeltown
E. coli,Trimethoprim,High,2024-06-03,Jerryview
Campylobacter,Azithromycin,High,2021-08-15,Lake Stevefort
Campylobacter,Erythromycin,Low,2024-04-04,North Jenniferstad
E. coli,Levofloxacin,High,2021-06-02,Sandrahaven
E. coli,Ceftriaxone,High,2020-07-13,West Tanyastad
Campylobacter,Levofloxacin,Medium,2020-01-16,East Danielhaven
Campylobacter,Trimethoprim,Medium,2023-09-20,Alexanderburgh
Campylobacter,Ceftriaxone,Low,2023-07-21,West Scottville
E. coli,Erythromycin,Medium,2024-11-02,Weaverton
E. coli,Erythromycin,High,2024-10-24,North Kimberly
Campylobacter,Levofloxacin,High,2024-09-20,South Nicole
Campylobacter,Chloramphenicol,High,2021-02-01,Johnland
Campylobacter,Amoxicillin,Medium,2024-07-19,South Katherinemouth
Salmonella,Nitrofurantoin,Medium,2021-10-11,Paigehaven
Campylobacter,Azithromycin,Low,2021-12-15,Tylerview
Salmonella,Ceftriaxone,Medium,2021-07-04,Aguilarbury
Campylobacter,Doxycycline,Low,2021-07-18,North David
E. coli,Norfloxacin,Medium,2022-08-31,West Tonya
Salmonella,Ceftriaxone,Low,2023-06-22,Lake Joseville
Salmonella,Azithromycin,High,2021-12-17,North Christinebury
Campylobacter,Erythromycin,Medium,2021-12-08,North Kevin
Salmonella,Amoxicillin,Low,2021-03-28,Crystalside
E. coli,Nitrofurantoin,High,2021-01-02,West Michaelville
Salmonella,Trimethoprim,High,2023-10-20,Robertton
E. coli,Trimethoprim,Low,2020-07-26,Stephaniefort
Salmonella,Nitrofurantoin,Low,2020-02-18,Taylorport
E. coli,Norfloxacin,Medium,2022-12-24,North Craig
Campylobacter,Trimethoprim,Medium,2020-05-10,Doylemouth
Salmonella,Norfloxacin,High,2023-04-27,Clarkland
E. coli,Ceftriaxone,Low,2021-04-26,Robertsberg
E. coli,Doxycycline,Low,2023-09-16,Nicoleport
Salmonella,Trimethoprim,High,2024-07-21,Millerstad
E. coli,Doxycycline,Medium,2024-02-25,Cheryltown
Salmonella,Gentamicin,High,2020-03-28,Port Jennifer
Campylobacter,Amoxicillin,Medium,2024-06-02,Gregorymouth
Salmonella,Ceftriaxone,High,2024-02-07,Bryanton
Salmonella,Chloramphenicol,High,2022-09-30,Port Jacob
E. coli,Levofloxacin,Low,2021-03-27,West Seth
Campylobacter,Azithromycin,Low,2021-04-21,Sarahberg
Salmonella,Amoxicillin,Medium,2024-11-04,Davisview
E. coli,Chloramphenicol,Medium,2024-10-21,New Stevenbury
Campylobacter,Amoxicillin,Low,2024-07-19,North Chelsea
E. coli,Chloramphenicol,Low,2022-02-16,New Aliciafort
Campylobacter,Gentamicin,High,2022-09-03,North Debbie
E. coli,Norfloxacin,High,2020-07-31,Port Lindseyshire
Campylobacter,Amoxicillin,High,2020-08-28,Port Courtney
Campylobacter,Chloramphenicol,Low,2023-12-28,Port Crystal
E. coli,Ceftriaxone,High,2022-09-22,Amandaberg
E. coli,Norfloxacin,High,2023-01-09,Coryberg
E. coli,Doxycycline,Low,2024-08-27,South Matthew
Campylobacter,Trimethoprim,High,2021-04-13,Beckyport
Salmonella,Doxycycline,Medium,2022-01-20,Jessicaton
Campylobacter,Azithromycin,Low,2020-01-02,Port Josephmouth
Campylobacter,Azithromycin,Medium,2022-11-11,East Matthewton
Salmonella,Trimethoprim,Medium,2023-11-05,South Haley
Campylobacter,Norfloxacin,Medium,2021-07-30,North Daniel
Campylobacter,Levofloxacin,Medium,2023-02-11,Michaelville
Campylobacter,Levofloxacin,Medium,2021-04-08,West Angelaberg
E. coli,Ciprofloxacin,Medium,2022-08-09,East Sandraview
E. coli,Ceftriaxone,High,2021-03-30,Michaelside
Campylobacter,Gentamicin,Low,2023-08-24,Port Jeffrey
E. coli,Norfloxacin,Low,2023-06-19,South Natalie
Salmonella,Levofloxacin,High,2020-03-31,East Jeffrey
Salmonella,Amoxicillin,Medium,2020-09-15,North Samanthabury
Campylobacter,Ceftriaxone,Low,2021-10-10,Morrowshire
Salmonella,Levofloxacin,Low,2020-02-05,South Seanview
Campylobacter,Chloramphenicol,Medium,2022-05-20,North Kennethfurt
Campylobacter,Trimethoprim,Medium,2023-11-08,Charlesside
E. coli,Norfloxacin,High,2024-05-07,New Darryl
E. coli,Amoxicillin,Low,2022-11-19,Jimberg
Salmonella,Doxycycline,Low,2024-09-25,West Rebeccachester
Salmonella,Erythromycin,Low,2020-11-18,Port Regina
E. coli,Doxycycline,Medium,2022-01-10,Gilbertberg
Campylobacter,Amoxicillin,High,2021-06-26,North Brittany
Campylobacter,Norfloxacin,High,2023-02-11,East Terri
E. coli,Ciprofloxacin,Low,2020-04-09,Meganland
E. coli,Norfloxacin,Medium,2022-08-31,New Jeffery
Salmonella,Levofloxacin,Low,2021-10-30,Herreramouth
Campylobacter,Norfloxacin,Low,2021-12-01,Rachaelburgh
E. coli,Ceftriaxone,High,2024-04-09,Johnsonfort
Campylobacter,Erythromycin,Medium,2020-01-08,Yvonnehaven
E. coli,Gentamicin,High,2021-05-11,South Donnaborough
E. coli,Levofloxacin,Low,2023-11-01,South Juliefurt
E. coli,Azithromycin,High,2020-11-21,Powellport
E. coli,Levofloxacin,Medium,2021-03-09,Hollyland
Salmonella,Trimethoprim,High,2021-02-16,Thomasmouth
Salmonella,Levofloxacin,Low,2024-09-02,Youngview
Campylobacter,Gentamicin,High,2020-09-06,Johnmouth
Campylobacter,Trimethoprim,Medium,2023-06-01,North Peggyland
E. coli,Chloramphenicol,High,2021-05-19,East Arthurberg
Salmonella,Amoxicillin,Low,2022-01-08,Rodriguezchester
E. coli,Azithromycin,Medium,2021-11-01,New Hollyfort
E. coli,Norfloxacin,Low,2021-01-03,East Ann
Salmonella,Levofloxacin,Medium,2020-10-20,Port Kathleenbury
Campylobacter,Nitrofurantoin,High,2021-07-04,East Danielleport
E. coli,Trimethoprim,High,2020-07-09,West Michael
Salmonella,Amoxicillin,Medium,2020-03-11,Lopezside
Campylobacter,Nitrofurantoin,Medium,2022-06-06,Kennethfort
E. coli,Erythromycin,High,2022-06-11,Bennettstad
E. coli,Nitrofurantoin,High,2024-01-12,Lake Thomas
Campylobacter,Nitrofurantoin,Medium,2021-02-16,Harmonmouth
E. coli,Trimethoprim,Medium,2023-02-12,Dixonfurt
Campylobacter,Gentamicin,Medium,2022-12-20,Ryanland
E. coli,Chloramphenicol,Medium,2022-01-28,Danashire
E. coli,Nitrofurantoin,High,2022-06-20,New Bill
E. coli,Erythromycin,Medium,2023-05-02,Medinamouth
E. coli,Levofloxacin,High,2024-09-16,West Tonya
Salmonella,Trimethoprim,High,2020-05-10,Danmouth
E. coli,Ciprofloxacin,Low,2020-12-19,East Alishatown
E. coli,Erythromycin,High,2021-02-05,Christineberg
Salmonella,Erythromycin,Medium,2023-10-05,New Dianafurt
Campylobacter,Chloramphenicol,Medium,2023-08-10,Valdezfurt
Salmonella,Trimethoprim,Medium,2021-02-04,Port Matthew
E. coli,Doxycycline,Medium,2023-12-13,New Sarah
Campylobacter,Levofloxacin,Medium,2023-02-10,West Michael
Salmonella,Norfloxacin,Medium,2021-06-29,Jacksonmouth
E. coli,Trimethoprim,High,2021-06-23,Michellemouth
Campylobacter,Erythromycin,Medium,2022-06-03,Michaelfort
Campylobacter,Chloramphenicol,Medium,2021-12-18,West Arielberg
Salmonella,Ciprofloxacin,High,2022-02-08,Kennethmouth
Campylobacter,Gentamicin,High,2023-07-14,Thomasshire
Salmonella,Chloramphenicol,Medium,2020-06-18,New Christian
Campylobacter,Nitrofurantoin,High,2023-07-26,Lindseytown
Campylobacter,Ciprofloxacin,Medium,2020-11-17,South Bobbytown
Campylobacter,Ciprofloxacin,High,2021-07-16,Gregoryfort
Campylobacter,Doxycycline,Low,2020-11-12,Nicoleview
E. coli,Ciprofloxacin,High,2021-02-12,Ashleymouth
Campylobacter,Amoxicillin,High,2023-10-02,East Eduardomouth
E. coli,Nitrofurantoin,Medium,2023-04-12,Pamelamouth
E. coli,Ciprofloxacin,Medium,2022-11-08,Christophermouth
Campylobacter,Azithromycin,Medium,2020-10-11,Wadeview
Salmonella,Azithromycin,Medium,2023-05-11,Michaelburgh
E. coli,Ceftriaxone,High,2023-12-27,Bradyton
E. coli,Ceftriaxone,High,2023-04-05,Lake Molly
Campylobacter,Doxycycline,Medium,2024-04-26,Lake Amandaport
Campylobacter,Ciprofloxacin,Medium,2021-07-16,Ericchester
Salmonella,Nitrofurantoin,Medium,2022-10-09,New Kennethberg
E. coli,Ciprofloxacin,Low,2022-03-31,East Adrian
Campylobacter,Levofloxacin,Low,2024-08-30,South Amber
Campylobacter,Levofloxacin,High,2020-02-18,Ashleyfort
Salmonella,Norfloxacin,High,2024-09-15,New Alexismouth
Salmonella,Doxycycline,High,2020-10-30,Sandovalfort
Campylobacter,Doxycycline,High,2023-05-20,Coreyville
Salmonella,Doxycycline,High,2023-02-08,East Krystalhaven
Campylobacter,Trimethoprim,Medium,2022-01-22,New Daniel
E. coli,Doxycycline,High,2023-10-23,East David
Salmonella,Azithromycin,Low,2020-09-04,Christophermouth
Salmonella,Ceftriaxone,Low,2022-08-30,Williamsland
Campylobacter,Amoxicillin,Low,2024-04-26,Petersonchester
Campylobacter,Chloramphenicol,Medium,2021-12-19,Evansport
Salmonella,Azithromycin,Medium,2024-07-05,Jacquelinechester
E. coli,Amoxicillin,Medium,2024-04-16,North Kellyberg
Salmonella,Erythromycin,High,2020-04-06,Williamfort
Salmonella,Doxycycline,Medium,2020-06-16,Frenchborough
Salmonella,Erythromycin,High,2022-10-27,Lake Rhondastad
E. coli,Nitrofurantoin,Low,2020-07-08,Lake Ryanside
